"Rainbow Beach","07/18/2015 10:00:00 AM","19.7","1.25",,"-99,999.992","-100,000","10.1","07/18/2015 10:00 AM","RainbowBeach201507181000"
"Rainbow Beach","07/18/2015 09:00:00 AM","19.7","1.42",,"-99,999.992","-100,000","10.1","07/18/2015 9:00 AM","RainbowBeach201507180900"
"Rainbow Beach","07/18/2015 08:00:00 AM","20.1","1.29",,"-99,999.992","-100,000","10.1","07/18/2015 8:00 AM","RainbowBeach201507180800"
"Rainbow Beach","07/18/2015 07:00:00 AM","20.2","1.34",,"-99,999.992","-100,000","10.1","07/18/2015 7:00 AM","RainbowBeach201507180700"
"Rainbow Beach","07/18/2015 06:00:00 AM","20.2","1.35",,"-99,999.992","-100,000","10.1","07/18/2015 6:00 AM","RainbowBeach201507180600"
"Rainbow Beach","07/18/2015 05:00:00 AM","20.3","1.47",,"-99,999.992","-100,000","10.1","07/18/2015 5:00 AM","RainbowBeach201507180500"
"Rainbow Beach","07/18/2015 04:00:00 AM","20.4","1.41",,"-99,999.992","-100,000","10.1","07/18/2015 4:00 AM","RainbowBeach201507180400"
"Rainbow Beach","07/18/2015 03:00:00 AM","20.4","1.7",,"-99,999.992","-100,000","10.1","07/18/2015 3:00 AM","RainbowBeach201507180300"
"Rainbow Beach","07/18/2015 02:00:00 AM","20.3","1.66",,"-99,999.992","-100,000","10.1","07/18/2015 2:00 AM","RainbowBeach201507180200"
"Rainbow Beach","07/18/2015 01:00:00 AM","20.6","1.84",,"-99,999.992","-100,000","10.1","07/18/2015 1:00 AM","RainbowBeach201507180100"
"Rainbow Beach","07/18/2015 12:00:00 AM","20.7","1.73",,"-99,999.992","-100,000","10.1","07/18/2015 12:00 AM","RainbowBeach201507182400";
